fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed aciditySquared,volatile aciditySquared,citric acidSquared,residual sugarSquared,chloridesSquared,free sulfur dioxideSquared,total sulfur dioxideSquared,densitySquared,pHSquared,sulphatesSquared,alcoholSquared,label
6.1,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54,11.5,37.209999999999994,0.31360000000000005,0.0,4.840000000000001,0.006241,36.0,81.0,0.98962704,12.8881,0.2916,132.25,6.0
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,68.89000000000001,0.49702499999999994,0.0144,6.760000000000001,0.008464,144.0,784.0,0.9988003599999999,12.320099999999998,0.5184,100.0,5.0
7.9,0.24,0.4,1.6,0.055999999999999994,11.0,25.0,0.9967,3.32,0.87,8.7,62.410000000000004,0.0576,0.16000000000000003,2.5600000000000005,0.0031359999999999995,121.0,625.0,0.99341089,11.0224,0.7569,75.68999999999998,6.0
10.9,0.53,0.49,4.6,0.11800000000000001,10.0,17.0,1.0002,3.07,0.56,11.7,118.81,0.28090000000000004,0.24009999999999998,21.159999999999997,0.013924000000000002,100.0,289.0,1.00040004,9.4249,0.31360000000000005,136.89,6.0
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,50.41,0.39690000000000003,0.0036,4.0,0.006889000000000001,64.0,841.0,0.9971021025000001,13.4689,0.5328999999999999,92.16,5.0
7.8,0.5,0.09,2.2,0.115,10.0,42.0,0.9971,3.18,0.62,9.5,60.839999999999996,0.25,0.0081,4.840000000000001,0.013225,100.0,1764.0,0.9942084099999999,10.112400000000001,0.3844,90.25,5.0
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,49.0,0.31360000000000005,0.016900000000000002,2.5600000000000005,0.005929,625.0,1764.0,0.9925937641,11.1556,0.34809999999999997,84.63999999999999,5.0
7.5,0.42,0.32,2.7,0.067,7.0,25.0,0.9962799999999999,3.24,0.44,10.4,56.25,0.17639999999999997,0.1024,7.290000000000001,0.004489000000000001,49.0,625.0,0.9925738383999999,10.497600000000002,0.1936,108.16000000000001,5.0
11.4,0.625,0.66,6.2,0.08800000000000001,6.0,24.0,0.9988,3.11,0.99,13.3,129.96,0.390625,0.43560000000000004,38.440000000000005,0.007744000000000002,36.0,576.0,0.9976014400000001,9.672099999999999,0.9801,176.89000000000001,6.0
8.0,1.18,0.21,1.9,0.083,14.0,41.0,0.9953200000000001,3.34,0.47,10.5,64.0,1.3923999999999999,0.04409999999999999,3.61,0.006889000000000001,196.0,1681.0,0.9906619024000002,11.1556,0.22089999999999999,110.25,5.0
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,38.440000000000005,0.3364,0.0,2.5600000000000005,0.0042250000000000005,64.0,324.0,0.9932115600000001,12.6736,0.7055999999999999,88.36000000000001,5.0
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,88.36000000000001,0.11560000000000002,0.1369,4.840000000000001,0.005625,25.0,169.0,0.996004,10.368400000000001,0.3844,84.63999999999999,5.0
9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,88.36000000000001,0.18489999999999998,0.0576,7.839999999999999,0.008464,196.0,2025.0,0.996004,10.1761,0.5328999999999999,100.0,6.0
8.6,0.725,0.24,6.6,0.11699999999999999,31.0,134.0,1.0014,3.32,1.07,9.3,73.96,0.525625,0.0576,43.559999999999995,0.013688999999999998,961.0,17956.0,1.0028019600000002,11.0224,1.1449,86.49000000000001,5.0
7.4,0.36,0.3,1.8,0.07400000000000001,17.0,24.0,0.99419,3.24,0.7,11.4,54.760000000000005,0.1296,0.09,3.24,0.005476000000000002,289.0,576.0,0.9884137561,10.497600000000002,0.48999999999999994,129.96,8.0
7.6,0.62,0.32,2.2,0.08199999999999999,7.0,54.0,0.9966,3.36,0.52,9.4,57.76,0.3844,0.1024,4.840000000000001,0.006723999999999998,49.0,2916.0,0.9932115600000001,11.289599999999998,0.27040000000000003,88.36000000000001,5.0
11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,125.43999999999998,0.25,0.5476,26.522500000000004,0.010000000000000002,25.0,289.0,0.9992001600000001,10.368400000000001,0.3844,125.43999999999998,5.0
7.2,0.66,0.33,2.5,0.068,34.0,102.0,0.9941399999999999,3.27,0.78,12.8,51.84,0.43560000000000004,0.10890000000000001,6.25,0.0046240000000000005,1156.0,10404.0,0.9883143395999998,10.6929,0.6084,163.84000000000003,6.0
6.9,0.4,0.24,2.5,0.083,30.0,45.0,0.9959,3.26,0.58,10.0,47.61000000000001,0.16000000000000003,0.0576,6.25,0.006889000000000001,900.0,2025.0,0.99181681,10.6276,0.3364,100.0,5.0
7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.9957600000000001,3.24,0.5,9.8,53.29,0.5476,0.0064,2.8899999999999997,0.008836,100.0,2025.0,0.9915379776000002,10.497600000000002,0.25,96.04000000000002,5.0
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,51.84,0.1444,0.09,3.24,0.0053289999999999995,961.0,4900.0,0.9937099225,11.696399999999999,0.34809999999999997,90.25,6.0
8.9,0.48,0.53,4.0,0.10099999999999999,3.0,10.0,0.9958600000000001,3.21,0.59,12.1,79.21000000000001,0.2304,0.28090000000000004,16.0,0.010200999999999998,9.0,100.0,0.9917371396000002,10.3041,0.34809999999999997,146.41,7.0
8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,77.44000000000001,0.2116,0.2025,6.760000000000001,0.0042250000000000005,49.0,324.0,0.9894280900000001,11.0224,0.6241000000000001,196.0,6.0
7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.9963200000000001,3.33,0.51,9.5,53.29,0.4760999999999999,0.1024,4.840000000000001,0.0047610000000000005,1225.0,10816.0,0.9926535424000001,11.0889,0.2601,90.25,5.0
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,79.21000000000001,0.403225,0.1369,2.8899999999999997,0.06916900000000001,25.0,3844.0,0.9942084099999999,9.0,1.1881000000000002,86.49000000000001,5.0
7.2,0.67,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,51.84,0.4489000000000001,0.0,4.840000000000001,0.0046240000000000005,100.0,576.0,0.9912193600000001,11.696399999999999,0.5184,123.21,6.0
7.1,0.59,0.01,2.5,0.077,20.0,85.0,0.99746,3.55,0.59,9.8,50.41,0.34809999999999997,0.0001,6.25,0.005929,400.0,7225.0,0.9949264516,12.6025,0.34809999999999997,96.04000000000002,5.0
7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,60.839999999999996,0.1521,0.17639999999999997,4.0,0.007395999999999999,81.0,441.0,0.9905424676000001,11.4921,0.43560000000000004,134.56,6.0
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,47.61000000000001,0.2916,0.0016,9.0,0.005929,49.0,729.0,0.9974016900000001,13.6161,0.8281000000000001,88.36000000000001,6.0
10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,108.16000000000001,0.27040000000000003,0.2025,4.0,0.0064,36.0,169.0,0.9954851076,10.368400000000001,0.5776,129.96,6.0
10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,3.23,0.66,12.5,104.03999999999999,0.1296,0.4096,8.41,0.014884,100.0,1681.0,0.996004,10.4329,0.43560000000000004,156.25,6.0
9.0,0.66,0.17,3.0,0.077,5.0,13.0,0.9976,3.29,0.55,10.4,81.0,0.43560000000000004,0.028900000000000006,9.0,0.005929,25.0,169.0,0.99520576,10.8241,0.30250000000000005,108.16000000000001,5.0
8.2,0.31,0.4,2.2,0.057999999999999996,6.0,10.0,0.99536,3.31,0.68,11.2,67.24,0.0961,0.16000000000000003,4.840000000000001,0.0033639999999999994,36.0,100.0,0.9907415296000001,10.956100000000001,0.4624000000000001,125.43999999999998,7.0
9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,98.01,0.2916,0.2025,5.289999999999999,0.0050409999999999995,256.0,1600.0,0.9982008099999999,11.4921,0.3844,88.36000000000001,5.0
7.0,0.22,0.3,1.8,0.065,16.0,20.0,0.99672,3.61,0.82,10.0,49.0,0.0484,0.09,3.24,0.0042250000000000005,256.0,400.0,0.9934507584000001,13.0321,0.6723999999999999,100.0,6.0
9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.9970399999999999,3.27,0.77,10.8,86.49000000000001,0.25,0.1296,3.24,0.007056000000000001,36.0,289.0,0.9940887615999998,10.6929,0.5929,116.64000000000001,6.0
9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,86.49000000000001,0.16000000000000003,0.24009999999999998,6.25,0.007225000000000001,1444.0,20164.0,0.99560484,10.368400000000001,0.30250000000000005,88.36000000000001,5.0
12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,158.76,0.1521,0.24009999999999998,6.25,0.0064,64.0,400.0,0.99840064,9.4249,0.6723999999999999,106.09000000000002,6.0
7.1,0.47,0.0,2.2,0.067,7.0,14.0,0.9951700000000001,3.4,0.58,10.9,50.41,0.22089999999999999,0.0,4.840000000000001,0.004489000000000001,49.0,196.0,0.9903633289000002,11.559999999999999,0.3364,118.81,4.0
8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,70.56,0.0841,0.16000000000000003,2.8899999999999997,0.004489000000000001,64.0,400.0,0.9920757608999999,11.4921,0.36,110.25,5.0
8.2,0.59,0.0,2.5,0.09300000000000001,19.0,58.0,1.0002,3.5,0.65,9.3,67.24,0.34809999999999997,0.0,6.25,0.008649000000000002,361.0,3364.0,1.00040004,12.25,0.42250000000000004,86.49000000000001,6.0
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,49.0,0.24009999999999998,0.24009999999999998,31.359999999999996,0.0036,676.0,14641.0,0.9948067599999999,11.1556,0.5776,110.25,5.0
8.0,0.745,0.56,2.0,0.11800000000000001,30.0,134.0,0.9968,3.24,0.66,9.4,64.0,0.555025,0.31360000000000005,4.0,0.013924000000000002,900.0,17956.0,0.9936102400000001,10.497600000000002,0.43560000000000004,88.36000000000001,5.0
7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.9962799999999999,3.4,0.69,10.9,60.839999999999996,0.48999999999999994,0.0036,3.61,0.006241,400.0,1225.0,0.9925738383999999,11.559999999999999,0.4760999999999999,118.81,5.0
7.9,0.34,0.42,2.0,0.086,8.0,19.0,0.99546,3.35,0.6,11.4,62.410000000000004,0.11560000000000002,0.17639999999999997,4.0,0.007395999999999999,64.0,361.0,0.9909406116,11.2225,0.36,129.96,6.0
7.2,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,0.99534,3.4,0.85,11.0,51.84,0.1296,0.2116,4.41,0.005476000000000002,576.0,1936.0,0.9907017156,11.559999999999999,0.7224999999999999,121.0,7.0
7.6,0.46,0.11,2.6,0.079,12.0,49.0,0.9968,3.21,0.57,10.0,57.76,0.2116,0.0121,6.760000000000001,0.006241,144.0,2401.0,0.9936102400000001,10.3041,0.32489999999999997,100.0,5.0
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,49.0,0.4760999999999999,0.004900000000000001,6.25,0.008281,225.0,441.0,0.9914583184000001,11.424399999999999,0.36,127.69000000000001,6.0
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,73.96,0.28090000000000004,0.0484,4.0,0.010000000000000002,49.0,729.0,0.99341089,10.240000000000002,0.31360000000000005,104.03999999999999,6.0
8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,9.3,77.44000000000001,0.3721,0.09,7.839999999999999,0.007744000000000002,289.0,2116.0,0.99520576,10.6276,0.2601,86.49000000000001,4.0
6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.9963299999999999,3.42,0.97,10.6,37.209999999999994,0.1024,0.0625,5.289999999999999,0.0050409999999999995,529.0,3364.0,0.9926734688999999,11.696399999999999,0.9409,112.36,5.0
7.2,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1,10.0,51.84,0.10890000000000001,0.10890000000000001,2.8899999999999997,0.003721,9.0,169.0,0.992016,10.4329,1.2100000000000002,100.0,8.0
12.4,0.4,0.51,2.0,0.059000000000000004,6.0,24.0,0.9994,3.04,0.6,9.3,153.76000000000002,0.16000000000000003,0.2601,4.0,0.0034810000000000006,36.0,576.0,0.9988003599999999,9.2416,0.36,86.49000000000001,6.0
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,59.290000000000006,0.3364,0.010000000000000002,3.24,0.010403999999999998,784.0,11881.0,0.9913189225000001,9.4864,0.24009999999999998,96.04000000000002,6.0
9.6,0.56,0.31,2.8,0.08900000000000001,15.0,46.0,0.9979,3.11,0.92,10.0,92.16,0.31360000000000005,0.0961,7.839999999999999,0.007921000000000001,225.0,2116.0,0.99580441,9.672099999999999,0.8464,100.0,6.0
8.7,0.46,0.31,2.5,0.126,24.0,64.0,0.99746,3.1,0.74,9.6,75.68999999999998,0.2116,0.0961,6.25,0.015876,576.0,4096.0,0.9949264516,9.610000000000001,0.5476,92.16,5.0
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,40.96000000000001,0.4489000000000001,0.0064,4.41,0.002025,361.0,2304.0,0.98982601,12.180100000000001,0.24009999999999998,129.96,6.0
8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.9947299999999999,3.3,0.76,12.8,67.24,0.10890000000000001,0.1024,7.839999999999999,0.004489000000000001,16.0,144.0,0.9894877728999998,10.889999999999999,0.5776,163.84000000000003,7.0
7.6,0.43,0.4,2.7,0.08199999999999999,6.0,11.0,0.9953799999999999,3.44,0.54,12.2,57.76,0.18489999999999998,0.16000000000000003,7.290000000000001,0.006723999999999998,36.0,121.0,0.9907813443999999,11.833599999999999,0.2916,148.83999999999997,6.0
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.9948899999999999,3.38,0.83,10.3,42.25,0.28090000000000004,0.0036,4.0,0.003969,841.0,1936.0,0.9898061120999999,11.424399999999999,0.6889,106.09000000000002,6.0
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,187.68999999999997,0.172225,0.4624000000000001,8.41,0.007225000000000001,289.0,1849.0,1.0028019600000002,9.3636,0.6400000000000001,100.0,6.0
7.1,0.61,0.02,2.5,0.081,17.0,87.0,0.99745,3.48,0.6,9.7,50.41,0.3721,0.0004,6.25,0.006561,289.0,7569.0,0.9949065024999999,12.1104,0.36,94.08999999999999,6.0
12.0,0.5,0.59,1.4,0.073,23.0,42.0,0.998,2.92,0.68,10.5,144.0,0.25,0.34809999999999997,1.9599999999999997,0.0053289999999999995,529.0,1764.0,0.996004,8.526399999999999,0.4624000000000001,110.25,7.0
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,102.00999999999999,0.0961,0.1936,5.289999999999999,0.0064,484.0,2116.0,0.9976014400000001,11.0224,0.4489000000000001,94.08999999999999,6.0
10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,3.19,0.7,10.0,112.36,0.11560000000000002,0.24009999999999998,10.240000000000002,0.006084,400.0,6084.0,0.99840064,10.1761,0.48999999999999994,100.0,6.0
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,53.29,0.43560000000000004,0.0,4.0,0.007056000000000001,36.0,529.0,0.9966028899999999,13.0321,0.9216,98.01,6.0
10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.79,11.1,104.03999999999999,0.1936,0.17639999999999997,4.0,0.0050409999999999995,49.0,400.0,0.9913388356,9.8596,0.6241000000000001,123.21,7.0
8.3,0.56,0.22,2.4,0.08199999999999999,10.0,86.0,0.9983,3.37,0.62,9.5,68.89000000000001,0.31360000000000005,0.0484,5.76,0.006723999999999998,100.0,7396.0,0.9966028899999999,11.356900000000001,0.3844,90.25,5.0
8.1,0.78,0.23,2.6,0.059000000000000004,5.0,15.0,0.997,3.37,0.56,11.3,65.61,0.6084,0.0529,6.760000000000001,0.0034810000000000006,25.0,225.0,0.994009,11.356900000000001,0.31360000000000005,127.69000000000001,5.0
9.6,0.32,0.47,1.4,0.055999999999999994,9.0,24.0,0.99695,3.22,0.82,10.3,92.16,0.1024,0.22089999999999999,1.9599999999999997,0.0031359999999999995,81.0,576.0,0.9939093025,10.368400000000001,0.6723999999999999,106.09000000000002,7.0
6.0,0.33,0.32,12.9,0.054000000000000006,6.0,113.0,0.99572,3.3,0.56,11.5,36.0,0.10890000000000001,0.1024,166.41,0.0029160000000000006,36.0,12769.0,0.9914583184000001,10.889999999999999,0.31360000000000005,132.25,4.0
7.2,0.62,0.01,2.3,0.065,8.0,46.0,0.9933200000000001,3.32,0.51,11.8,51.84,0.3844,0.0001,5.289999999999999,0.0042250000000000005,64.0,2116.0,0.9866846224000002,11.0224,0.2601,139.24,6.0
8.8,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,0.9986,3.54,0.66,10.5,77.44000000000001,0.16809999999999997,0.4096,4.840000000000001,0.008649000000000002,81.0,1764.0,0.99720196,12.531600000000001,0.43560000000000004,110.25,5.0
7.5,0.685,0.07,2.5,0.057999999999999996,5.0,9.0,0.9963200000000001,3.38,0.55,10.9,56.25,0.46922500000000006,0.004900000000000001,6.25,0.0033639999999999994,25.0,81.0,0.9926535424000001,11.424399999999999,0.30250000000000005,118.81,4.0
9.6,0.5,0.36,2.8,0.11599999999999999,26.0,55.0,0.9972200000000001,3.18,0.68,10.9,92.16,0.25,0.1296,7.839999999999999,0.013455999999999997,676.0,3025.0,0.9944477284000002,10.112400000000001,0.4624000000000001,118.81,5.0
7.9,0.33,0.41,1.5,0.055999999999999994,6.0,35.0,0.9939600000000001,3.29,0.71,11.0,62.410000000000004,0.10890000000000001,0.16809999999999997,2.25,0.0031359999999999995,36.0,1225.0,0.9879564816000002,10.8241,0.5041,121.0,6.0
8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81,10.4,67.24,0.04000000000000001,0.18489999999999998,6.25,0.005776,961.0,2601.0,0.9934507584000001,12.460899999999999,0.6561000000000001,108.16000000000001,6.0
6.5,0.34,0.27,2.8,0.067,8.0,44.0,0.99384,3.21,0.56,12.0,42.25,0.11560000000000002,0.0729,7.839999999999999,0.004489000000000001,64.0,1936.0,0.9877179455999999,10.3041,0.31360000000000005,144.0,6.0
11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,134.56,0.16809999999999997,0.3364,7.839999999999999,0.009216,625.0,10201.0,1.0004800576000001,9.796899999999999,0.28090000000000004,100.0,5.0
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,100.0,0.0961,0.22089999999999999,6.760000000000001,0.007225000000000001,196.0,1089.0,0.9993001225000001,11.289599999999998,0.6400000000000001,110.25,7.0
6.6,0.61,0.01,1.9,0.08,8.0,25.0,0.99746,3.69,0.73,10.5,43.559999999999995,0.3721,0.0001,3.61,0.0064,64.0,625.0,0.9949264516,13.6161,0.5328999999999999,110.25,5.0
9.3,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,86.49000000000001,0.2304,0.0841,4.41,0.016129,36.0,256.0,0.9936102400000001,10.368400000000001,0.5184,125.43999999999998,5.0
7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,56.25,0.1444,0.32489999999999997,5.289999999999999,0.011236,25.0,144.0,0.9921156025,11.289599999999998,0.30250000000000005,129.96,6.0
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,156.25,0.36,0.24009999999999998,18.49,0.010000000000000002,25.0,196.0,1.0020009999999997,10.5625,0.5476,141.61,6.0
9.1,0.3,0.34,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,11.7,82.80999999999999,0.09,0.11560000000000002,4.0,0.004096,144.0,625.0,0.9903434256000001,10.6276,0.7055999999999999,136.89,7.0
10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.9967600000000001,3.14,0.72,11.1,112.36,0.1296,0.32489999999999997,5.289999999999999,0.007568999999999999,36.0,400.0,0.9935304976000002,9.8596,0.5184,123.21,7.0
8.0,0.6,0.22,2.1,0.08,25.0,105.0,0.99613,3.3,0.49,9.9,64.0,0.36,0.0484,4.41,0.0064,625.0,11025.0,0.9922749768999999,10.889999999999999,0.24009999999999998,98.01,5.0
9.2,0.43,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,84.63999999999999,0.18489999999999998,0.24009999999999998,5.76,0.007395999999999999,529.0,13456.0,0.99520576,10.4329,0.4096,90.25,5.0
7.2,0.63,0.03,2.2,0.08,17.0,88.0,0.99745,3.53,0.58,9.8,51.84,0.39690000000000003,0.0009,4.840000000000001,0.0064,289.0,7744.0,0.9949065024999999,12.460899999999999,0.3364,96.04000000000002,6.0
8.2,0.24,0.34,5.1,0.062,8.0,22.0,0.9974,3.22,0.94,10.9,67.24,0.0576,0.11560000000000002,26.009999999999998,0.0038439999999999998,64.0,484.0,0.9948067599999999,10.368400000000001,0.8835999999999999,118.81,6.0
7.0,0.43,0.02,1.9,0.08,15.0,28.0,0.99492,3.35,0.81,10.6,49.0,0.18489999999999998,0.0004,3.61,0.0064,225.0,784.0,0.9898658064000001,11.2225,0.6561000000000001,112.36,6.0
9.3,0.36,0.39,1.5,0.08,41.0,55.0,0.9965200000000001,3.47,0.73,10.9,86.49000000000001,0.1296,0.1521,2.25,0.0064,1681.0,3025.0,0.9930521104000002,12.0409,0.5328999999999999,118.81,6.0
8.9,0.4,0.51,2.6,0.052000000000000005,13.0,27.0,0.995,3.32,0.9,13.4,79.21000000000001,0.16000000000000003,0.2601,6.760000000000001,0.0027040000000000007,169.0,729.0,0.990025,11.0224,0.81,179.56,7.0
7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.9945799999999999,3.16,0.54,9.8,59.290000000000006,0.32489999999999997,0.04409999999999999,2.25,0.0047610000000000005,16.0,81.0,0.9891893763999998,9.985600000000002,0.2916,96.04000000000002,6.0
8.8,0.48,0.41,3.3,0.092,26.0,52.0,0.9982,3.31,0.53,10.5,77.44000000000001,0.2304,0.16809999999999997,10.889999999999999,0.008464,676.0,2704.0,0.9964032399999999,10.956100000000001,0.28090000000000004,110.25,6.0
