fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
11.9;0.57;0.5;2.6;0.08199999999999999;6.0;32.0;1.0006;3.12;0.78;10.7
6.6;0.61;0.0;1.6;0.069;4.0;8.0;0.99396;3.33;0.37;10.4
8.3;0.6;0.25;2.2;0.118;9.0;38.0;0.99616;3.15;0.53;9.8
7.7;1.005;0.15;2.1;0.102;11.0;32.0;0.99604;3.23;0.48;10.0
7.5;0.4;0.12;3.0;0.092;29.0;53.0;0.9967;3.37;0.7;10.3
7.4;0.36;0.34;1.8;0.075;18.0;38.0;0.9933;3.38;0.88;13.6
10.2;0.33;0.46;1.9;0.081;6.0;9.0;0.99628;3.1;0.48;10.4
9.6;0.38;0.31;2.5;0.096;16.0;49.0;0.9982;3.19;0.7;10.0
8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9971;3.26;0.53;9.7
10.0;0.56;0.24;2.2;0.079;19.0;58.0;0.9991;3.18;0.56;10.1
9.0;0.46;0.23;2.8;0.092;28.0;104.0;0.9983;3.1;0.56;9.2
9.2;0.41;0.5;2.5;0.055;12.0;25.0;0.9952;3.34;0.79;13.3
8.0;0.715;0.22;2.3;0.075;13.0;81.0;0.99688;3.24;0.54;9.5
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4
6.8;0.62;0.08;1.9;0.068;28.0;38.0;0.99651;3.42;0.82;9.5
9.1;0.37;0.32;2.1;0.064;4.0;15.0;0.99576;3.3;0.8;11.2
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;10.6
7.4;0.35;0.33;2.4;0.068;9.0;26.0;0.9947;3.36;0.6;11.9
7.6;0.49;0.33;1.9;0.07400000000000001;27.0;85.0;0.99706;3.41;0.58;9.0
15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1
7.0;0.42;0.35;1.6;0.08800000000000001;16.0;39.0;0.9961;3.34;0.55;9.2
7.4;0.55;0.19;1.8;0.08199999999999999;15.0;34.0;0.99655;3.49;0.68;10.5
7.1;0.48;0.28;2.8;0.068;6.0;16.0;0.99682;3.24;0.53;10.3
9.1;0.34;0.42;1.8;0.058;9.0;18.0;0.99392;3.18;0.55;11.4
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9
10.4;0.43;0.5;2.3;0.068;13.0;19.0;0.996;3.1;0.87;11.4
7.6;0.29;0.49;2.7;0.092;25.0;60.0;0.9971;3.31;0.61;10.1
10.9;0.21;0.49;2.8;0.08800000000000001;11.0;32.0;0.9972;3.22;0.68;11.7
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8
9.4;0.395;0.46;4.6;0.094;3.0;10.0;0.99639;3.27;0.64;12.2
6.8;0.67;0.15;1.8;0.118;13.0;20.0;0.9954;3.42;0.67;11.3
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7
6.8;0.36;0.32;1.8;0.067;4.0;8.0;0.9928;3.36;0.55;12.8
7.3;0.73;0.24;1.9;0.108;18.0;102.0;0.9967;3.26;0.59;9.3
9.7;0.69;0.32;2.5;0.08800000000000001;22.0;91.0;0.9979;3.29;0.62;10.1
8.6;0.47;0.27;2.3;0.055;14.0;28.0;0.99516;3.18;0.8;11.2
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2
13.0;0.47;0.49;4.3;0.085;6.0;47.0;1.0021;3.3;0.68;12.7
7.5;0.63;0.27;2.0;0.083;17.0;91.0;0.99616;3.26;0.58;9.8
7.0;0.69;0.08;1.8;0.097;22.0;89.0;0.9959;3.34;0.54;9.2
6.4;0.53;0.09;3.9;0.123;14.0;31.0;0.9968;3.5;0.67;11.0
8.3;0.6;0.13;2.6;0.085;6.0;24.0;0.9984;3.31;0.59;9.2
8.6;0.63;0.17;2.9;0.099;21.0;119.0;0.998;3.09;0.52;9.3
6.3;0.51;0.13;2.3;0.076;29.0;40.0;0.99574;3.42;0.75;11.0
7.0;0.56;0.17;1.7;0.065;15.0;24.0;0.99514;3.44;0.68;10.55
10.2;0.44;0.58;4.1;0.092;11.0;24.0;0.99745;3.29;0.99;12.0
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5
8.6;0.83;0.0;2.8;0.095;17.0;43.0;0.99822;3.33;0.6;10.4
11.9;0.4;0.65;2.15;0.068;7.0;27.0;0.9988;3.06;0.68;11.3
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;2.74;2.0;9.4
8.2;0.34;0.38;2.5;0.08;12.0;57.0;0.9978;3.3;0.47;9.0
6.4;0.39;0.33;3.3;0.046;12.0;53.0;0.99294;3.36;0.62;12.2
11.1;0.39;0.54;2.7;0.095;21.0;101.0;1.0001;3.13;0.51;9.5
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8
6.8;0.69;0.0;5.6;0.124;21.0;58.0;0.9997;3.46;0.72;10.2
6.9;0.44;0.0;1.4;0.07;32.0;38.0;0.99438;3.32;0.58;11.4
7.6;0.43;0.31;2.1;0.069;13.0;74.0;0.9958;3.26;0.54;9.9
7.4;0.785;0.19;5.2;0.094;19.0;98.0;0.99713;3.16;0.52;9.6
6.7;0.46;0.24;1.7;0.077;18.0;34.0;0.9948;3.39;0.6;10.6
7.5;0.38;0.48;2.6;0.073;22.0;84.0;0.9972;3.32;0.7;9.6
6.7;0.86;0.07;2.0;0.1;20.0;57.0;0.99598;3.6;0.74;11.7
12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.14;0.57;11.4
11.4;0.46;0.5;2.7;0.122;4.0;17.0;1.0006;3.13;0.7;10.2
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.28;0.97;10.1
7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.23;0.59;9.5
8.7;0.31;0.46;1.4;0.059;11.0;25.0;0.9966;3.36;0.76;10.1
7.0;0.745;0.12;1.8;0.114;15.0;64.0;0.99588;3.22;0.59;9.5
7.5;0.63;0.27;2.0;0.083;17.0;91.0;0.99616;3.26;0.58;9.8
8.0;0.43;0.36;2.3;0.075;10.0;48.0;0.9976;3.34;0.46;9.4
10.0;0.73;0.43;2.3;0.059;15.0;31.0;0.9966;3.15;0.57;11.0
8.9;0.59;0.39;2.3;0.095;5.0;22.0;0.9986;3.37;0.58;10.3
6.5;0.885;0.0;2.3;0.166;6.0;12.0;0.99551;3.56;0.51;10.8
8.9;0.32;0.31;2.0;0.08800000000000001;12.0;19.0;0.9957;3.17;0.55;10.4
6.9;0.56;0.03;1.5;0.086;36.0;46.0;0.99522;3.53;0.57;10.6
13.2;0.38;0.55;2.7;0.081;5.0;16.0;1.0006;2.98;0.54;9.4
7.3;0.365;0.49;2.5;0.08800000000000001;39.0;106.0;0.9966;3.36;0.78;11.0
7.1;0.22;0.49;1.8;0.039;8.0;18.0;0.99344;3.39;0.56;12.4
8.8;0.27;0.39;2.0;0.1;20.0;27.0;0.99546;3.15;0.69;11.2
9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5
7.8;0.5;0.17;1.6;0.08199999999999999;21.0;102.0;0.996;3.39;0.48;9.5
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5
11.3;0.37;0.5;1.8;0.09;20.0;47.0;0.99734;3.15;0.57;10.5
7.4;0.41;0.24;1.8;0.066;18.0;47.0;0.9956;3.37;0.62;10.4
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2
7.9;0.58;0.23;2.3;0.076;23.0;94.0;0.99686;3.21;0.58;9.5
12.0;0.39;0.66;3.0;0.093;12.0;30.0;0.9996;3.18;0.63;10.8
7.0;0.69;0.0;1.9;0.114;3.0;10.0;0.99636;3.35;0.6;9.7
6.7;0.28;0.28;2.4;0.012;36.0;100.0;0.99064;3.26;0.39;11.7
7.5;0.61;0.26;1.9;0.073;24.0;88.0;0.99612;3.3;0.53;9.8
11.6;0.475;0.4;1.4;0.091;6.0;28.0;0.99704;3.07;0.65;10.0333333333333
12.4;0.42;0.49;4.6;0.073;19.0;43.0;0.9978;3.02;0.61;9.5
9.1;0.29;0.33;2.05;0.063;13.0;27.0;0.99516;3.26;0.84;11.7
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1
6.6;0.58;0.0;2.2;0.1;50.0;63.0;0.99544;3.59;0.68;11.4
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9973;3.08;1.31;9.3
10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.15;0.9;11.0
11.4;0.26;0.44;3.6;0.071;6.0;19.0;0.9986;3.12;0.82;9.3
10.0;0.42;0.5;3.4;0.107;7.0;21.0;0.9979;3.26;0.93;11.8
9.5;0.59;0.44;2.3;0.071;21.0;68.0;0.9992;3.46;0.63;9.5
7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.35;0.86;12.8
5.0;0.38;0.01;1.6;0.048;26.0;60.0;0.99084;3.7;0.75;14.0
9.7;0.42;0.46;2.1;0.07400000000000001;5.0;16.0;0.99649;3.27;0.74;12.3
9.7;0.55;0.17;2.9;0.087;20.0;53.0;1.0004;3.14;0.61;9.4
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2
6.2;0.785;0.0;2.1;0.06;6.0;13.0;0.99664;3.59;0.61;10.0
7.1;0.59;0.02;2.3;0.08199999999999999;24.0;94.0;0.99744;3.55;0.53;9.7
6.9;0.58;0.2;1.75;0.058;8.0;22.0;0.99322;3.38;0.49;11.7
6.4;0.63;0.21;1.6;0.08;12.0;32.0;0.99689;3.58;0.66;9.8
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4
7.9;0.58;0.23;2.3;0.076;23.0;94.0;0.99686;3.21;0.58;9.5
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5
8.9;0.12;0.45;1.8;0.075;10.0;21.0;0.99552;3.41;0.76;11.9
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8
8.3;0.65;0.1;2.9;0.08900000000000001;17.0;40.0;0.99803;3.29;0.55;9.5
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.4;0.58;9.8
12.7;0.59;0.45;2.3;0.08199999999999999;11.0;22.0;1.0;3.0;0.7;9.3
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3
7.6;0.49;0.33;1.9;0.07400000000000001;27.0;85.0;0.99706;3.41;0.58;9.0
6.5;0.67;0.0;4.3;0.057;11.0;20.0;0.99488;3.45;0.56;11.8
8.1;0.53;0.22;2.2;0.078;33.0;89.0;0.99678;3.26;0.46;9.6
7.9;0.65;0.01;2.5;0.078;17.0;38.0;0.9963;3.34;0.74;11.7
5.2;0.48;0.04;1.6;0.054000000000000006;19.0;106.0;0.9927;3.54;0.62;12.2
7.3;0.58;0.3;2.4;0.07400000000000001;15.0;55.0;0.9968;3.46;0.59;10.2
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1
7.3;1.07;0.09;1.7;0.17800000000000002;10.0;89.0;0.9962;3.3;0.57;9.0
8.3;0.31;0.39;2.4;0.078;17.0;43.0;0.99444;3.31;0.77;12.5
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7
7.0;0.78;0.08;2.0;0.093;10.0;19.0;0.9956;3.4;0.47;10.0
9.0;0.8;0.12;2.4;0.083;8.0;28.0;0.99836;3.33;0.65;10.4
13.8;0.49;0.67;3.0;0.093;6.0;15.0;0.9986;3.02;0.93;12.0
7.0;0.45;0.34;2.7;0.08199999999999999;16.0;72.0;0.998;3.55;0.6;9.5
